"","time","lat","lon","ugrd10m","vgrd10m","dir","speed"
"366",2015-02-12,44,-7.5,1,2.6699998,20.5325261956461,2.85112239863532
"367",2015-02-12,44,-7,0.72999996,2.87,14.2708678581605,2.96138480133873
"368",2015-02-12,44,-6.5,0.14,2.58,3.10602709561643,2.58379565755499
"369",2015-02-12,44,-6,0.17999999,2.08,4.94596627369124,2.08777393326002
"370",2015-02-12,44,-5.5,0.26999998,2.03,7.57615434101107,2.04787694679148
"371",2015-02-12,44,-5,0,2.58,0,2.58
"372",2015-02-12,44,-4.5,-0.59999996,2.57,346.858931087954,2.63910968927023
"373",2015-02-12,44,-4,-0.65,1.99,341.911245027539,2.09346602551845
"374",2015-02-12,44,-3.5,0.29999998,1.78,9.56668536372321,1.8051038718035
"375",2015-02-12,44,-3,0.84,3.1899998,14.752404297973,3.29874199112329
"376",2015-02-12,44,-2.5,-0.29999998,4.77,356.401232122479,4.77942465031095
"377",2015-02-12,44,-2,-2.9399998,5.21,330.563989506042,5.9822820749276
"378",2015-02-12,44,-1.5,-3.9199998,4.48,318.814076282983,5.95288152343048
"379",2015-02-12,44,-1,-1.48,1.76,319.939215542126,2.29956517628877
"380",2015-02-12,44,-0.5,-0.97999996,1.48,326.488982278683,1.77504927300625
"619",2015-02-12,44,0,-0.47,1.75,344.966741870612,1.81201545247274
"620",2015-02-12,44,0.5,0.48999998,0.83,30.555963251708,0.963846450634125
"621",2015-02-12,44,1,-0.84,1.12,323.130102354156,1.4
"622",2015-02-12,44,1.5,-2.21,1.15,297.490755209742,2.49130487897407
"623",2015-02-12,44,2,-1.6899999,-0.48999998,253.830968031111,1.75960212616376
"624",2015-02-12,44,2.5,-1.86,-0.03,269.075954647227,1.8602419197513
"625",2015-02-12,44,3,-1.65,0.63,290.897765498839,1.7661823235442
"626",2015-02-12,44,3.5,-0.90999997,0,270,0.90999997
"627",2015-02-12,44,4,-0.02,-0.85999995,181.332219931296,0.860232476717778
"628",2015-02-12,44,4.5,0.16,-1.26,172.763077974032,1.27011810474459
"629",2015-02-12,44,5,-0.63,-0.47,233.275892827075,0.786002544525143
"341",2015-02-12,43.5,-10,-1.5999999,6.04,345.163092124844,6.24832775068658
"342",2015-02-12,43.5,-9.5,-0.22,5.44,357.684153233323,5.44444671201767
