Predictor variable,Categorical,Sample average
bio10,false,18.8664719532827
bio15,false,27.829825482040487
bio18,false,182.7195767195767
bio19,false,226.12345679012347
bio2,false,10.363239642383771
bio3,false,48.383088382673854
