ID,date,lat,long
2,7/20/04,-13.21473,-101.2422
2,7/21/04,-13.00009,-101.25404
2,7/22/04,-12.84618,-100.95124
2,7/23/04,-12.70563,-100.5794
2,7/24/04,-12.55448,-100.3651
2,7/25/04,-12.38888,-100.37907
2,7/26/04,-12.22108,-100.52469
2,7/27/04,-12.03822,-100.7147
2,7/28/04,-11.84132,-100.8889
2,7/29/04,-11.63499,-101.0281
2,7/30/04,-11.42621,-101.1588
2,7/31/04,-11.23625,-101.2931
2,8/1/04,-11.09651,-101.4626
2,8/2/04,-10.96779,-101.6383
2,8/3/04,-10.7796,-101.7767
2,8/4/04,-10.62323,-102.0658
2,8/5/04,-10.5536,-102.3485
2,8/6/04,-10.52491,-102.6531
2,8/7/04,-10.53185,-102.7669
2,8/8/04,-10.44528,-103.0861
2,8/9/04,-10.47109,-103.5294
2,8/10/04,-10.31723,-103.7446
2,8/11/04,-10.1838,-103.9778
2,8/12/04,-10.010419,-104.2929
2,8/13/04,-9.773873,-104.5669
2,8/14/04,-9.469723,-104.8001
2,8/15/04,-9.238443,-104.9536
2,8/16/04,-9.000467,-104.8842
2,8/17/04,-8.809704,-104.9669
2,8/18/04,-8.698396,-105.2426
2,8/19/04,-8.739623,-105.225
2,8/20/04,-8.789094,-105.1997
2,8/21/04,-8.837537,-105.1388
2,8/22/04,-8.92081,-105.0876
2,8/23/04,-8.894505,-105.0967
2,8/24/04,-8.888186,-105.0993
2,8/25/04,-8.766143,-105.1317
2,8/26/04,-8.80968,-105.3319
2,8/27/04,-8.828234,-105.1706
2,8/28/04,-8.851833,-104.9426
2,8/29/04,-8.98093,-104.9622
2,8/30/04,-8.976876,-104.9276
