variable,x,y
bio17,-149.6,0.018104372546076775
bio17,-146.0096,0.018104372546076775
bio17,-142.4192,0.018104372546076775
bio17,-138.8288,0.018104372546076775
bio17,-135.23839999999998,0.018104372546076775
bio17,-131.648,0.018104372546076775
bio17,-128.0576,0.018104372546076775
bio17,-124.46719999999999,0.018104372546076775
bio17,-120.8768,0.018104372546076775
bio17,-117.28639999999999,0.018104372546076775
bio17,-113.696,0.018104372546076775
bio17,-110.10560000000001,0.018104372546076775
bio17,-106.5152,0.018104372546076775
bio17,-102.9248,0.018104372546076775
bio17,-99.3344,0.018104372546076775
bio17,-95.744,0.018104372546076775
bio17,-92.1536,0.018104372546076775
bio17,-88.5632,0.018104372546076775
bio17,-84.97279999999999,0.018104372546076775
bio17,-81.3824,0.018104372546076775
bio17,-77.79199999999999,0.018104372546076775
bio17,-74.2016,0.018104372546076775
bio17,-70.61120000000001,0.018104372546076775
bio17,-67.0208,0.018104372546076775
bio17,-63.430400000000006,0.018104372546076775
bio17,-59.84,0.018104372546076775
bio17,-56.2496,0.018104372546076775
bio17,-52.65920000000001,0.018104372546076775
bio17,-49.06880000000001,0.018104372546076775
bio17,-45.47840000000001,0.018104372546076775
bio17,-41.888000000000005,0.018104372546076775
bio17,-38.2976,0.018104372546076775
bio17,-34.7072,0.018104372546076775
bio17,-31.116800000000012,0.018104372546076775
bio17,-27.52640000000001,0.018104372546076775
bio17,-23.936000000000007,0.018104372546076775
bio17,-20.34559999999999,0.018104372546076775
bio17,-16.755200000000002,0.018104372546076775
bio17,-13.164800000000014,0.018104372546076775
bio17,-9.574400000000026,0.018104372546076775
bio17,-5.9839999999999804,0.018104372546076775
bio17,-2.393599999999992,0.018104372546076775
bio17,1.196799999999996,0.01914779096841812
bio17,4.787199999999984,0.02264869399368763
bio17,8.377599999999973,0.026781098917126656
bio17,11.96799999999999,0.031655434519052505
bio17,15.558400000000006,0.0374000258743763
bio17,19.148799999999994,0.044163431972265244
bio17,22.739199999999983,0.05211683362722397
bio17,26.32959999999997,0.0614563524723053
bio17,29.919999999999987,0.07240515202283859
bio17,33.510400000000004,0.08521493524312973
bio17,37.10079999999999,0.10016665607690811
bio17,40.69119999999998,0.11756960302591324
bio17,44.28159999999997,0.13775844871997833
bio17,47.871999999999986,0.16108708083629608
bio17,51.462399999999974,0.18791818618774414
bio17,55.05279999999999,0.2186073660850525
bio17,58.64319999999998,0.25347983837127686
bio17,62.233599999999996,0.2927989363670349
bio17,65.82399999999998,0.3181201219558716
bio17,69.41439999999997,0.34350788593292236
bio17,73.00479999999999,0.37032458186149597
bio17,76.59519999999998,0.398539274930954
bio17,80.1856,0.4280965030193329
bio17,83.77599999999998,0.45891302824020386
bio17,87.36639999999997,0.4908747971057892
bio17,90.95679999999999,0.512351393699646
bio17,94.54719999999998,0.5147258639335632
