variable,x,y
bio6,-257.2,6.315957580227405E-5
bio6,-256.1152,6.315957580227405E-5
bio6,-255.0304,6.315957580227405E-5
bio6,-253.94559999999998,6.315957580227405E-5
bio6,-252.86079999999998,6.315957580227405E-5
bio6,-251.77599999999998,6.315957580227405E-5
bio6,-250.69119999999998,6.315957580227405E-5
bio6,-249.60639999999998,6.315957580227405E-5
bio6,-248.52159999999998,6.315957580227405E-5
bio6,-247.43679999999998,6.315957580227405E-5
bio6,-246.35199999999998,6.315957580227405E-5
bio6,-245.2672,6.315957580227405E-5
bio6,-244.1824,6.315957580227405E-5
bio6,-243.0976,6.315957580227405E-5
bio6,-242.0128,6.315957580227405E-5
bio6,-240.928,6.315957580227405E-5
bio6,-239.8432,6.315957580227405E-5
bio6,-238.7584,6.315957580227405E-5
bio6,-237.6736,6.315957580227405E-5
bio6,-236.5888,6.315957580227405E-5
bio6,-235.504,6.315957580227405E-5
bio6,-234.4192,6.315957580227405E-5
bio6,-233.3344,6.315957580227405E-5
bio6,-232.2496,6.315957580227405E-5
bio6,-231.16479999999999,6.315957580227405E-5
bio6,-230.07999999999998,6.315957580227405E-5
bio6,-228.99519999999998,6.315957580227405E-5
bio6,-227.91039999999998,6.315957580227405E-5
bio6,-226.82559999999998,6.315957580227405E-5
bio6,-225.74079999999998,6.315957580227405E-5
bio6,-224.656,6.315957580227405E-5
bio6,-223.57119999999998,6.315957580227405E-5
bio6,-222.4864,6.315957580227405E-5
bio6,-221.40159999999997,6.315957580227405E-5
bio6,-220.3168,6.315957580227405E-5
bio6,-219.23199999999997,6.315957580227405E-5
bio6,-218.1472,6.315957580227405E-5
bio6,-217.0624,6.315957580227405E-5
bio6,-215.9776,6.315957580227405E-5
bio6,-214.8928,6.315957580227405E-5
bio6,-213.808,6.315957580227405E-5
bio6,-212.7232,6.315957580227405E-5
bio6,-211.6384,6.370657501975074E-5
bio6,-210.5536,6.537613808177412E-5
bio6,-209.4688,6.708948058076203E-5
bio6,-208.384,6.884770118631423E-5
bio6,-207.29919999999998,7.065202225930989E-5
bio6,-206.21439999999998,7.250360067700967E-5
bio6,-205.12959999999998,7.440372428391129E-5
bio6,-204.0448,7.635362271685153E-5
bio6,-202.95999999999998,7.835462020011619E-5
bio6,-201.8752,8.040808461373672E-5
bio6,-200.79039999999998,8.251532563008368E-5
bio6,-199.7056,8.467782754451036E-5
bio6,-198.62079999999997,8.689696551300585E-5
bio6,-197.536,8.917428931454197E-5
bio6,-196.4512,9.151125414064154E-5
bio6,-195.3664,9.390950435772538E-5
bio6,-194.2816,9.637056064093485E-5
bio6,-193.1968,9.889614739222452E-5
bio6,-192.112,1.0148788715014234E-4
bio6,-191.0272,1.0414754069643095E-4
bio6,-189.9424,1.068769270204939E-4
bio6,-188.8576,1.0967779962811619E-4
bio6,-187.7728,1.1255211575189605E-4
bio6,-186.688,1.1550170165719464E-4
bio6,-185.6032,1.18528630991932E-4
bio6,-184.51839999999999,1.2163483916083351E-4
bio6,-183.4336,1.2482248712331057E-4
bio6,-182.34879999999998,1.2809362669941038E-4
bio6,-181.26399999999998,1.3145047705620527E-4
bio6,-180.17919999999998,1.3489533739630133E-4
bio6,-179.0944,1.384304341627285E-4
bio6,-178.00959999999998,1.4205821207724512E-4
bio6,-176.9248,1.4578098489437252E-4
bio6,-175.83999999999997,1.4960138651076704E-4
bio6,-174.7552,1.5352183254435658E-4
bio6,-173.6704,1.575450733071193E-4
bio6,-172.5856,1.616736699361354E-4
bio6,-171.5008,1.6591051826253533E-4
bio6,-170.416,1.7025832494255155E-4
bio6,-169.33119999999997,1.7472005856689066E-4
bio6,-168.2464,1.792987750377506E-4
bio6,-167.1616,1.839973992900923E-4
bio6,-166.0768,1.888192055048421E-4
bio6,-164.992,1.9376729323994368E-4
bio6,-163.9072,1.9884511129930615E-4
bio6,-162.82240000000002,2.0405590476002544E-4
bio6,-161.7376,2.0940331160090864E-4
bio6,-160.65279999999998,2.1489076607394964E-4
bio6,-159.56799999999998,2.2052208078093827E-4
bio6,-158.48319999999998,2.2630085004493594E-4
bio6,-157.39839999999998,2.322310465388E-4
bio6,-156.3136,2.3831671569496393E-4
bio6,-155.22879999999998,2.4456175742670894E-4
bio6,-154.144,2.5097050820477307E-4
bio6,-153.0592,2.575471007730812E-4
bio6,-151.9744,2.6429607532918453E-4
bio6,-150.8896,2.712217974476516E-4
bio6,-149.8048,2.783290983643383E-4
bio6,-148.71999999999997,2.856224891729653E-4
bio6,-147.6352,2.9310709214769304E-4
bio6,-146.5504,3.0078768031671643E-4
bio6,-145.4656,3.086694923695177E-4
bio6,-144.3808,3.167579125147313E-4
bio6,-143.296,3.25058150338009E-4
bio6,-142.21120000000002,3.3357596839778125E-4
bio6,-141.1264,3.4231680911034346E-4
bio6,-140.0416,3.51286813383922E-4
bio6,-138.9568,3.604916564654559E-4
bio6,-137.87199999999999,3.699377994053066E-4
bio6,-136.78719999999998,3.796312666963786E-4
bio6,-135.7024,3.8957883953116834E-4
bio6,-134.61759999999998,3.997868625447154E-4
bio6,-133.5328,4.102623206563294E-4
bio6,-132.44799999999998,4.2101237340830266E-4
bio6,-131.3632,4.3204386020079255E-4
bio6,-130.27839999999998,4.433644935488701E-4
bio6,-129.1936,4.5498154941014946E-4
bio6,-128.1088,4.669030604418367E-4
bio6,-127.024,4.7913671005517244E-4
bio6,-125.9392,4.916909383609891E-4
bio6,-124.85439999999997,5.045739817433059E-4
bio6,-123.7696,5.17794513143599E-4
bio6,-122.6848,5.313613219186664E-4
bio6,-121.6,5.452835466712713E-4
bio6,-120.5152,5.595704424194992E-4
bio6,-119.43039999999999,5.742314970120788E-4
bio6,-118.34559999999999,5.892766639590263E-4
bio6,-117.26080000000002,6.047157221473753E-4
bio6,-116.17599999999999,6.20559265371412E-4
bio6,-115.09119999999999,6.368178292177618E-4
bio6,-114.00639999999999,6.535021821036935E-4
bio6,-112.92159999999998,6.706234999001026E-4
bio6,-111.83680000000001,6.8819330772385E-4
bio6,-110.75199999999998,7.062231888994575E-4
bio6,-109.66720000000001,7.247253088280559E-4
bio6,-108.58239999999998,7.43711949326098E-4
bio6,-107.4976,7.631957996636629E-4
bio6,-106.4128,7.831897819414735E-4
bio6,-105.32799999999997,8.037075167521834E-4
bio6,-104.2432,8.247625082731247E-4
bio6,-103.15839999999997,8.463688427582383E-4
bio6,-102.0736,8.685410139150918E-4
bio6,-100.9888,8.912936900742352E-4
bio6,-99.904,9.146421798504889E-4
bio6,-98.8192,9.386020246893167E-4
bio6,-97.7344,9.6318923169747E-4
bio6,-96.64959999999999,9.884200990200043E-4
bio6,-95.56480000000002,0.0010143116815015674
bio6,-94.47999999999999,0.001040880917571485
bio6,-93.39519999999999,0.0010681458516046405
bio6,-92.31039999999999,0.0010961246443912387
bio6,-91.22559999999999,0.001124835922382772
bio6,-90.14080000000001,0.00115429877769202
bio6,-89.05599999999998,0.0011845328845083714
bio6,-87.97120000000001,0.0012155583826825023
bio6,-86.88639999999998,0.0012473961105570197
bio6,-85.80160000000001,0.0012800671393051744
bio6,-84.7168,0.0013135932385921478
bio6,-83.63199999999998,0.001347996643744409
bio6,-82.5472,0.0013833007542416453
bio6,-81.46239999999997,0.0014195287367329001
bio6,-80.3776,0.0014567049220204353
bio6,-79.2928,0.0014948538737371564
bio6,-78.208,0.0015340012032538652
bio6,-77.1232,0.0015741728711873293
bio6,-76.0384,0.0016153956530615687
bio6,-74.9536,0.0016576971393078566
bio6,-73.8688,0.001701105386018753
bio6,-72.78399999999999,0.0017456492641940713
bio6,-71.69919999999999,0.0017913581104949117
bio6,-70.61439999999999,0.0018382631242275238
bio6,-69.52959999999999,0.0018863951554521918
bio6,-68.44480000000001,0.0019357862183824182
bio6,-67.35999999999999,0.001986469142138958
bio6,-66.27520000000001,0.0020384779199957848
bio6,-65.19039999999998,0.002091846661642194
bio6,-64.10559999999998,0.0021466112229973078
bio6,-63.02080000000001,0.002202807692810893
bio6,-61.93599999999998,0.0022604740224778652
bio6,-60.851200000000006,0.00231964816339314
bio6,-59.766399999999976,0.0023803694639354944
bio6,-58.6816,0.002442678203806281
bio6,-57.5968,0.0025066158268600702
bio6,-56.512,0.0025722249411046505
bio6,-55.4272,0.002639549085870385
bio6,-54.34239999999997,0.0027086331974714994
bio6,-53.2576,0.002779522677883506
bio6,-52.172799999999995,0.002852264791727066
bio6,-51.087999999999994,0.0029269077349454165
bio6,-50.00319999999999,0.003003501333296299
bio6,-48.91840000000002,0.0030820961110293865
bio6,-47.83359999999999,0.0031627442222088575
bio6,-46.74880000000002,0.0032454992178827524
bio6,-45.66399999999999,0.00333041581325233
bio6,-44.579200000000014,0.0034175505861639977
bio6,-43.49440000000001,0.0035069610457867384
bio6,-42.40959999999998,0.00359870633110404
bio6,-41.32480000000001,0.00369284744374454
bio6,-40.23999999999998,0.0037894463166594505
bio6,-39.15520000000001,0.0038885672111064196
bio6,-38.07040000000001,0.003990275785326958
bio6,-36.985600000000005,0.004094639327377081
bio6,-35.900800000000004,0.004201726522296667
bio6,-34.816,0.0043116076849401
bio6,-33.7312,0.004424356855452061
bio6,-32.6464,0.004540047608315945
bio6,-31.5616,0.00465875631198287
bio6,-30.476799999999997,0.004780561197549105
bio6,-29.391999999999996,0.004905542824417353
bio6,-28.307199999999995,0.005033784080296755
bio6,-27.22240000000002,0.0051653687842190266
bio6,-26.137599999999992,0.005300384014844894
bio6,-25.05280000000002,0.005438918713480234
bio6,-23.96799999999999,0.005581064149737358
bio6,-22.883199999999988,0.005726913921535015
bio6,-21.798400000000015,0.005876563489437103
bio6,-20.713599999999985,0.0060301125049591064
bio6,-19.628800000000012,0.0061876606196165085
bio6,-18.543999999999983,0.006349311675876379
bio6,-17.45920000000001,0.006515171844512224
bio6,-16.37440000000001,0.006685350555926561
bio6,-15.289600000000007,0.00685995863750577
bio6,-14.204800000000006,0.007039111107587814
bio6,-13.119999999999976,0.007222925312817097
bio6,-12.035200000000003,0.00741152185946703
bio6,-10.950400000000002,0.007605023216456175
bio6,-9.8656,0.007803557440638542
bio6,-8.7808,0.008007252588868141
bio6,-7.695999999999998,0.008216244168579578
bio6,-6.611199999999997,0.008430666290223598
bio6,-5.526400000000024,0.008650659583508968
bio6,-4.441599999999994,0.008876368403434753
bio6,-3.3567999999999927,0.009107938967645168
bio6,-2.2719999999999914,0.0093455221503973
bio6,-1.1872000000000185,0.009589272551238537
bio6,-0.10239999999998872,0.009839349426329136
bio6,0.9823999999999842,0.010095913894474506
bio6,2.067200000000014,0.010359133593738079
bio6,3.151999999999987,0.010629179887473583
bio6,4.2368000000000166,0.010906226001679897
bio6,5.3215999999999894,0.011190452612936497
bio6,6.406399999999962,0.011482044123113155
bio6,7.491200000000049,0.011781186796724796
bio6,8.576000000000022,0.012088076211512089
bio6,9.660799999999995,0.012402909807860851
bio6,10.745599999999968,0.012725889682769775
bio6,11.830399999999997,0.01305722538381815
bio6,12.915200000000027,0.013397128321230412
bio6,14.0,0.013745817355811596
bio6,15.084799999999973,0.01410351786762476
bio6,16.169600000000003,0.014470457099378109
bio6,17.254399999999976,0.01484687253832817
bio6,18.339200000000005,0.015233002603054047
bio6,19.424000000000035,0.01562909595668316
bio6,20.508800000000008,0.016035404056310654
bio6,21.59359999999998,0.016452185809612274
bio6,22.678399999999954,0.01687970757484436
bio6,23.76320000000004,0.01731823943555355
bio6,24.848000000000013,0.01776806265115738
bio6,25.932799999999986,0.01822946034371853
bio6,27.017600000000016,0.01870272494852543
bio6,28.10239999999999,0.019188156351447105
bio6,29.18720000000002,0.019686060026288033
bio6,30.27199999999999,0.02019674889743328
bio6,31.35680000000002,0.020720547065138817
bio6,32.441599999999994,0.021257782354950905
bio6,33.52639999999997,0.021808790042996407
bio6,34.6112,0.02237391471862793
bio6,35.696000000000026,0.022953512147068977
bio6,36.7808,0.0235479436814785
bio6,37.86559999999997,0.024157576262950897
bio6,38.9504,0.02478279173374176
bio6,40.03520000000003,0.02542397566139698
bio6,41.120000000000005,0.026081524789333344
bio6,42.20479999999998,0.02675584889948368
bio6,43.28960000000001,0.027447357773780823
bio6,44.37439999999998,0.028156479820609093
bio6,45.45920000000001,0.02888365089893341
bio6,46.54400000000004,0.029629308730363846
bio6,47.62880000000001,0.030393918976187706
bio6,48.713599999999985,0.031177939847111702
bio6,49.79839999999996,0.03198184818029404
bio6,50.883200000000045,0.03280613571405411
bio6,51.96800000000002,0.03365129232406616
bio6,53.05279999999999,0.03451783210039139
bio6,54.13759999999996,0.03540627658367157
bio6,55.22239999999999,0.03631715476512909
bio6,56.30720000000002,0.03725101053714752
bio6,57.391999999999996,0.03820839896798134
bio6,58.476800000000026,0.039189890027046204
bio6,59.5616,0.04019606113433838
bio6,60.64639999999997,0.04122751206159592
bio6,61.7312,0.04228483885526657
bio6,62.81600000000003,0.043368663638830185
bio6,63.900800000000004,0.0444796159863472
bio6,64.98559999999998,0.04561835154891014
bio6,66.07039999999995,0.04678550735116005
bio6,67.15520000000004,0.04798177629709244
bio6,68.24000000000001,0.049207836389541626
bio6,69.32479999999998,0.050464387983083725
bio6,70.40960000000001,0.05175214633345604
bio6,71.49439999999998,0.05307183787226677
bio6,72.57920000000001,0.05442420765757561
bio6,73.66399999999999,0.05581000819802284
bio6,74.74880000000002,0.05723002180457115
bio6,75.83359999999999,0.058685027062892914
bio6,76.91839999999996,0.060175832360982895
bio6,78.00320000000005,0.06170324608683586
bio6,79.08800000000002,0.06326811760663986
bio6,80.1728,0.06487128883600235
bio6,81.25759999999997,0.06651362031698227
bio6,82.3424,0.06819599866867065
bio6,83.42720000000003,0.06991931796073914
bio6,84.512,0.07168448716402054
bio6,85.59679999999997,0.07349243760108948
bio6,86.6816,0.07534410804510117
bio6,87.76639999999998,0.0772404596209526
bio6,88.8512,0.0791824534535408
bio6,89.93600000000004,0.08117111027240753
bio6,91.02080000000001,0.08320742100477219
bio6,92.10559999999998,0.08529240638017654
bio6,93.19039999999995,0.08742710947990417
bio6,94.27520000000004,0.08961258083581924
bio6,95.36000000000001,0.09184987843036652
bio6,96.44479999999999,0.09414010494947433
bio6,97.52960000000002,0.09648434817790985
bio6,98.61439999999999,0.098883718252182
bio6,99.69920000000002,0.10133934766054153
bio6,100.78399999999999,0.10385236144065857
bio6,101.86880000000002,0.10642395168542862
bio6,102.9536,0.10905525833368301
bio6,104.03839999999997,0.11174748092889786
bio6,105.1232,0.11450179666280746
bio6,106.20800000000003,0.11731941998004913
bio6,107.2928,0.12020157277584076
bio6,108.37759999999997,0.12314946949481964
bio6,109.4624,0.12616436183452606
bio6,110.54720000000003,0.1292474865913391
bio6,111.632,0.13240011036396027
bio6,112.71679999999998,0.13562346994876862
bio6,113.80160000000001,0.13891887664794922
bio6,114.88639999999998,0.14228759706020355
bio6,115.97120000000001,0.1457308977842331
bio6,117.05599999999998,0.1492500752210617
bio6,118.14080000000001,0.15284639596939087
bio6,119.22559999999999,0.15652118623256683
bio6,120.31039999999996,0.16027569770812988
bio6,121.39520000000005,0.16411124169826508
bio6,122.48000000000002,0.1680290848016739
bio6,123.56479999999999,0.172030508518219
bio6,124.64959999999996,0.17611680924892426
bio6,125.7344,0.18028923869132996
bio6,126.81920000000002,0.18454904854297638
bio6,127.904,0.1888974905014038
bio6,128.98880000000003,0.19333580136299133
bio6,130.0736,0.19786514341831207
bio6,131.15839999999997,0.2024868130683899
bio6,132.2432,0.20720185339450836
bio6,133.32800000000003,0.21201156079769135
bio6,134.4128,0.21691691875457764
bio6,135.49759999999998,0.22191916406154633
bio6,136.58239999999995,0.22701922059059143
bio6,137.66720000000004,0.23221825063228607
bio6,138.752,0.2375171184539795
bio6,139.83679999999998,0.24291691184043884
bio6,140.9216,0.248418390750885
bio6,142.00639999999999,0.2540225088596344
bio6,143.09120000000001,0.25973013043403625
bio6,144.176,0.26554185152053833
bio6,145.26080000000002,0.27145853638648987
bio6,146.3456,0.2774806320667267
bio6,147.43039999999996,0.28360894322395325
bio6,148.51520000000005,0.28984370827674866
bio6,149.60000000000002,0.29618555307388306
bio6,150.6848,0.30263465642929077
bio6,151.76959999999997,0.30919143557548523
bio6,152.8544,0.31585586071014404
bio6,153.93920000000003,0.32262811064720154
bio6,155.024,0.3295082747936249
bio6,156.10879999999997,0.3364959955215454
bio6,157.1936,0.34359124302864075
bio6,158.27839999999998,0.3507934808731079
bio6,159.36319999999995,0.358102411031723
bio6,160.44800000000004,0.365517258644104
bio6,161.5328,0.37303751707077026
bio6,162.61759999999998,0.38066208362579346
bio6,163.70239999999995,0.38839009404182434
bio6,164.78719999999998,0.39622050523757935
bio6,165.872,0.4041517972946167
bio6,166.9568,0.4121827781200409
bio6,168.04159999999996,0.4203115701675415
bio6,169.1264,0.42853668332099915
bio6,170.21119999999996,0.4368559420108795
bio6,171.296,0.4452674388885498
bio6,172.38080000000002,0.45376867055892944
bio6,173.4656,0.46235740184783936
bio6,174.55039999999997,0.47103071212768555
bio6,175.63519999999994,0.47978585958480835
bio6,176.72000000000003,0.48861998319625854
bio6,177.8048,0.4975295662879944
bio6,178.88959999999997,0.506511390209198
bio6,179.9744,0.5155616402626038
bio6,181.05919999999998,0.5246766209602356
bio6,182.144,0.5338521599769592
bio6,183.22879999999998,0.5430841445922852
bio6,184.3136,0.5523678660392761
bio6,185.39839999999998,0.5616989731788635
bio6,186.48319999999995,0.5710723400115967
bio6,187.56799999999998,0.5804829597473145
bio6,188.6528,0.5899257659912109
bio6,189.7376,0.5993949770927429
bio6,190.82239999999996,0.6088852286338806
bio6,191.9072,0.6183903217315674
bio6,192.99200000000002,0.6279045939445496
bio6,194.0768,0.6374215483665466
bio6,195.16159999999996,0.646934986114502
bio6,196.2464,0.6564381718635559
bio6,197.33119999999997,0.6659247279167175
bio6,198.416,0.6753875017166138
bio6,199.50080000000003,0.6848196387290955
bio6,200.5856,0.6942142844200134
bio6,201.67039999999997,0.703563928604126
bio6,202.75519999999995,0.7128616571426392
bio6,203.84000000000003,0.722099781036377
bio6,204.9248,0.7312712669372559
bio6,206.00959999999998,0.7403683662414551
bio6,207.09439999999995,0.7493839263916016
bio6,208.17919999999998,0.7583103179931641
bio6,209.264,0.76714026927948
bio6,210.34879999999998,0.7758662700653076
bio6,211.4336,0.7844811081886292
bio6,212.51839999999999,0.7929777503013611
bio6,213.60319999999996,0.8013488054275513
bio6,214.688,0.8095875382423401
bio6,215.77280000000002,0.8176869750022888
bio6,216.8576,0.8256407976150513
bio6,217.94239999999996,0.8334423303604126
bio6,219.02719999999994,0.8410856127738953
bio6,220.11200000000002,0.848564624786377
bio6,221.1968,0.8558738827705383
bio6,222.28159999999997,0.8630081415176392
bio6,223.3664,0.8699622750282288
bio6,224.45119999999997,0.8767319321632385
bio6,225.536,0.8833127021789551
bio6,226.62079999999997,0.8897009491920471
bio6,227.7056,0.8958930969238281
bio6,228.79039999999998,0.9018864035606384
bio6,229.87519999999995,0.9076781272888184
bio6,230.96000000000004,0.9132664799690247
bio6,232.0448,0.9186497330665588
