spcode,x,y
aphpic,-67.9294,44.7713
aphpic,-67.88,44.6691
aphpic,-67.9732,44.6106
aphpic,-68.4063,44.8257
aphpic,-68.6872,44.5468
aphpic,-67.5334,44.7309
aphpic,-67.7894,44.6766
bradep,-68.6872,44.5468
bradep,-68.7489,44.4648
bradep,-67.853,44.6705
camnov,-67.8846,44.7753
camnov,-67.8789,44.6969
camnov,-67.9294,44.7713
camnov,-67.8994,44.7296
camnov,-67.9138,44.7364
camnov,-67.7704,44.7479
camnov,-67.8381,44.6682
camnov,-67.8725,44.6721
camnov,-67.88,44.6691
camnov,-67.9732,44.6106
camnov,-67.8801,44.7643
camnov,-68.4063,44.8257
camnov,-67.5334,44.7309
camnov,-67.7894,44.6766
campen,-67.8587,44.6768
campen,-68.4063,44.8257
campen,-68.6872,44.5468
crecer,-67.8846,44.7753
crecer,-67.8789,44.6969
crecer,-67.8994,44.7296
crecer,-67.8725,44.6721
crecer,-67.88,44.6691
crecer,-67.9732,44.6106
crecer,-68.4063,44.8257
crecer,-68.6872,44.5468
crecer,-68.7489,44.4648
crecer,-67.8533,44.6741
crecer,-67.5334,44.7309
dolpla,-68.4063,44.8257
dolpla,-68.7489,44.4648
dolpus,-67.5334,44.7309
doltas,-67.88,44.6691
doltas,-68.7489,44.4648
forarg,-67.8846,44.7753
forarg,-67.8789,44.6969
forarg,-67.9294,44.7713
forarg,-67.9138,44.7364
forarg,-67.8725,44.6721
forarg,-67.88,44.6691
forarg,-67.9732,44.6106
forarg,-68.4063,44.8257
forarg,-67.5334,44.7309
forexs,-67.8846,44.7753
forexs,-67.8789,44.6969
forexs,-67.9294,44.7713
forexs,-67.8994,44.7296
forexs,-67.9138,44.7364
forexs,-67.8725,44.6721
forexs,-67.88,44.6691
forexs,-68.4063,44.8257
forexs,-68.6872,44.5468
forexs,-68.7489,44.4648
forfos,-67.8846,44.7753
forfos,-67.8994,44.7296
forfos,-67.9138,44.7364
forfos,-67.8725,44.6721
forgla,-67.8846,44.7753
forgla,-67.8789,44.6969
forgla,-67.9294,44.7713
forgla,-67.8994,44.7296
forgla,-67.9138,44.7364
forgla,-67.7704,44.7479
forgla,-67.8381,44.6682
forgla,-67.8725,44.6721
forgla,-67.88,44.6691
forgla,-67.9732,44.6106
forgla,-67.8369,44.7644
forgla,-67.8801,44.7643
forgla,-67.7596,44.7501
forgla,-67.7739,44.7885
