SURVEYID,Elev,Mesic
453,1.013000011,1
454,1.100000024,0
455,1.23300004,1
456,1.235000014,1
457,1.269000053,1
458,1.238000035,1
459,1.269000053,1
460,1.333999991,0
461,1.317999959,0
462,1.315999985,1
463,1.350000024,1
464,1.32099998,1
465,1.402999997,1
466,1.430999994,1
467,1.187000036,0
468,1.274000049,1
469,1.340999961,1
470,1.302000046,1
471,0.896000028,1
472,0.893999994,1
473,0.938000023,1
474,0.950999975,1
475,0.871999979,1
476,0.871999979,1
477,0.884000003,1
478,0.867999971,1
479,1.534000039,0
480,1.54400003,0
481,1.50999999,0
482,1.453999996,0
483,1.455000043,0
484,1.434000015,0
485,1.442999959,0
486,1.450000048,0
487,1.465999961,0
488,1.200999975,1
489,1.203999996,1
490,1.24000001,1
491,1.24000001,1
492,1.320000052,1
493,1.350999951,1
494,1.366000056,1
495,1.371999979,1
496,1.470999956,0
497,1.539000034,0
498,1.577000022,0
499,1.531999946,1
500,0.973999977,1
501,1.065000057,1
502,0.991999984,1
503,1.001999974,1
504,1.088000059,1
505,1.113999963,1
506,1.108999968,1
507,1.118000031,1
508,1.111999989,1
509,1.14199996,1
510,1.149000049,0
511,1.14199996,0
512,1.123999953,0
513,1.121000051,0
514,0.69599998,1
515,0.703999996,1
516,0.716000021,1
517,0.717000008,1
518,0.726999998,1
519,0.768000007,1
520,0.758000016,1
521,1.297999978,0
522,1.277999997,0
523,1.273000002,0
524,1.269000053,0
525,1.25999999,1
526,1.25999999,1
527,1.197000027,1
528,1.180999994,1
529,1.210000038,1
530,1.22300005,1
531,1.279000044,1
532,1.264000058,1
533,0.860000014,1
534,0.860000014,1
535,0.861000001,1
536,0.880999982,1
537,0.861000001,1
538,0.861000001,1
539,0.966000021,1
540,0.867999971,1
541,0.876999974,1
542,0.916999996,1
543,0.970000029,0
544,0.981999993,1
545,0.989000022,1
546,0.971000016,0
547,0.958999991,1
548,1.225000024,0
549,1.253999949,0
550,1.241999984,0
551,1.25999999,0
552,1.253000021,0
553,1.269000053,0
554,1.284000039,0
555,1.307000041,0
556,1.347000003,0
557,1.335000038,0
558,1.350999951,0
559,1.378999949,1
560,0.996999979,0
561,0.986999989,1
562,0.992999971,1
563,0.985000014,0
564,1.332999945,1
565,1.34800005,0
566,1.327000022,1
567,1.338000059,1
568,1.269999981,1
569,1.256999969,1
570,1.223999977,1
571,0.861999989,1
572,0.888999999,1
573,0.885999978,1
574,0.894999981,1
575,1.19599998,0
576,1.207999945,0
577,1.197000027,0
578,1.197999954,0
579,1.167000055,1
580,1.126000047,1
581,1.110000014,1
582,1.10800004,1
583,1.373999953,0
584,1.360000014,0
585,1.299000025,0
586,1.284999967,0
587,1.427999973,0
588,1.45599997,0
589,1.473999977,0
590,1.468999982,0
591,1.14199996,0
592,1.146999955,0
593,1.131000042,0
594,1.18900001,0
595,0.98299998,1
596,1.003000021,1
597,1.024999976,1
598,1.036999941,1
599,1.052000046,1
600,1.146999955,1
601,1.16900003,1
602,1.202000022,1
603,1.220000029,1
604,1.376999974,0
605,1.373999953,0
606,1.335000038,0
607,1.300999999,0
608,1.330000043,0
609,1.225000024,0
610,1.202999949,0
611,1.230000019,0
612,1.203999996,0
613,1.187000036,0
614,1.222000003,0
615,1.230999947,0
616,1.284999967,0
617,1.307000041,0
618,1.228000045,0
619,1.228999972,1
620,1.207000017,1
621,1.231999993,1
622,1.465999961,0
623,1.437000036,0
624,1.409999967,0
625,1.442000031,0
626,1.396000028,0
627,1.414999962,0
628,1.424999952,0
629,1.475999951,0
630,1.470999956,0
631,1.506999969,0
632,1.473999977,0
633,1.501000047,0
634,1.50999999,0
635,1.544999957,0
636,1.493999958,0
637,1.480999947,0
638,1.485999942,0
639,1.511000037,0
640,1.781000018,0
641,1.807000041,0
642,1.848999977,0
643,1.907999992,0
644,1.399000049,0
645,1.409000039,0
646,1.440999985,0
647,1.417000055,0
648,1.495000005,0
649,1.506000042,0
650,1.496999979,0
651,1.50999999,0
652,0.764999986,1
653,0.777999997,1
654,0.82099998,1
655,0.82099998,1
656,1.059000015,0
657,1.059000015,0
658,1.039999962,0
659,1.050999999,0
660,1.027999997,0
661,1.057999969,1
662,1.026000023,0
663,1.034000039,0
664,1.039999962,0
665,1.034000039,0
666,1.029000044,0
667,1.478999972,0
668,1.518000007,0
669,1.567999959,0
670,1.457999945,0
671,1.452999949,0
672,1.440000057,0
673,1.43599999,0
674,1.19599998,1
675,1.200000048,0
676,1.218999982,0
677,1.241999984,0
678,1.180999994,0
679,1.19599998,0
680,1.161999941,0
681,1.207999945,0
682,1.207999945,0
683,1.218999982,0
684,1.245000005,0
685,1.251000047,0
686,1.541000009,0
687,1.526000023,0
688,1.539999962,0
689,1.550999999,0
690,0.827000022,0
691,0.819999993,0
692,0.841000021,0
693,0.882000029,0
694,0.833000004,1
695,0.83099997,1
696,0.815999985,1
697,0.791000009,1
698,1.963000059,0
699,1.996999979,0
700,1.993999958,0
701,1.953999996,0
702,1.911999941,0
703,1.873999953,0
704,1.906999946,0
705,2.000999928,0
706,1.22300005,1
707,1.246999979,1
708,1.254999995,0
709,1.258999944,1
710,1.593999982,0
711,1.646999955,0
712,1.514999986,0
713,1.574000001,0
714,1.386999965,0
715,1.417999983,0
716,1.409999967,0
717,1.394999981,0
718,1.190000057,0
719,1.192999959,0
720,1.190999985,0
721,1.192999959,0
722,1.128000021,1
723,1.166000009,0
724,1.116999984,1
725,1.11500001,0
726,0.986999989,1
727,1.006999969,1
728,0.990999997,1
729,1,1
730,1.519999981,0
731,1.521999955,0
732,1.493000031,1
733,1.476999998,1
734,0.889999986,0
735,0.898000002,1
736,0.935000002,1
737,0.941999972,1
738,0.950999975,1
739,0.990999997,1
740,0.980000019,1
741,1.021999955,1
742,1.156999946,1
743,1.162999988,1
744,1.13499999,1
745,1.143000007,1
746,1.557000041,0
747,1.638000011,0
748,1.601999998,0
749,1.618999958,0
750,1.69599998,0
751,1.322000027,0
752,1.353000045,0
753,1.39199996,0
754,1.39199996,0
755,1.434000015,0
756,1.430999994,0
757,1.447000027,0
758,1.526000023,0
759,1.578999996,0
760,1.616000056,0
761,1.61500001,0
762,1.61500001,0
763,1.381999969,0
764,1.36500001,0
765,1.361999989,0
766,1.376999974,0
767,0.99000001,1
768,1.042000055,1
769,1.072000027,0
770,1.062999964,0
771,1.366000056,0
772,1.358999968,0
773,1.402999997,0
774,1.440999985,0
775,1.447999954,0
776,1.460999966,0
777,1.442999959,0
778,1.429999948,0
779,1.004999995,1
780,1.02699995,1
781,1.054999948,1
782,1.052999973,0
783,0.80400002,1
784,0.824000001,1
785,0.856000006,1
786,0.832000017,1
787,1.101999998,0
788,1.110999942,0
789,1.120000005,0
790,1.149999976,0
791,1.605000019,1
792,1.620000005,1
793,1.657999992,1
794,1.68599999,0
795,1.74000001,0
796,0.768000007,0
797,0.787999988,0
798,0.788999975,0
799,0.785000026,0
800,0.782000005,0
801,0.77700001,0
802,0.768999994,0
803,0.774999976,0
804,0.774999976,0
805,0.777999997,0
