x,y,species cloglog values
212.0,212.0,8.560406E-6
213.0,213.0,0.025097564
214.0,214.0,0.18914975
215.0,215.0,1.07931075E-4
216.0,216.0,0.069468945
217.0,217.0,0.08015489
218.0,218.0,0.047038548
219.0,219.0,4.8870083E-6
220.0,220.0,0.03519985
221.0,221.0,2.3424761E-4
222.0,222.0,0.09370008
223.0,223.0,0.5172086
224.0,224.0,0.008849908
225.0,225.0,7.0456223E-4
226.0,226.0,0.43926272
227.0,227.0,8.427053E-6
228.0,228.0,1.9160427E-5
229.0,229.0,3.0576732E-4
230.0,230.0,2.4529075E-4
231.0,231.0,1.9597462E-6
232.0,232.0,0.37211597
233.0,233.0,8.704914E-7
234.0,234.0,0.032248583
235.0,235.0,4.927638E-5
236.0,236.0,0.9934847
237.0,237.0,4.3085543E-6
238.0,238.0,0.997061
239.0,239.0,0.0151081765
240.0,240.0,0.20863692
241.0,241.0,3.6728426E-7
242.0,242.0,3.1562697E-4
243.0,243.0,0.69080406
244.0,244.0,5.497378E-5
245.0,245.0,8.1346073E-4
246.0,246.0,2.0249032E-5
247.0,247.0,0.15946643
248.0,248.0,0.16355881
249.0,249.0,0.45622855
250.0,250.0,0.16317755
251.0,251.0,0.22466777
252.0,252.0,3.1208393E-7
253.0,253.0,3.8920138E-5
254.0,254.0,0.04354273
255.0,255.0,0.419861
256.0,256.0,0.041463573
257.0,257.0,5.4522798E-6
258.0,258.0,0.9192059
259.0,259.0,0.39255416
260.0,260.0,0.37118638
261.0,261.0,8.2741753E-4
262.0,262.0,1.4905531E-4
263.0,263.0,0.018370697
264.0,264.0,2.9375435E-6
265.0,265.0,7.766052E-6
266.0,266.0,1.1130526E-4
267.0,267.0,1.19739496E-4
268.0,268.0,0.85025674
269.0,269.0,0.8339021
270.0,270.0,4.1630253E-4
271.0,271.0,8.276121E-5
272.0,272.0,2.0270197E-6
273.0,273.0,0.021647336
274.0,274.0,0.41075927
275.0,275.0,2.626219E-4
276.0,276.0,0.0016079574
277.0,277.0,0.22761285
278.0,278.0,0.367894
279.0,279.0,2.2887561E-6
280.0,280.0,0.30354795
281.0,281.0,0.3204017
282.0,282.0,4.2553074E-4
283.0,283.0,0.29257473
284.0,284.0,3.444757E-5
285.0,285.0,0.02219555
286.0,286.0,0.19507761
287.0,287.0,6.7822845E-7
288.0,288.0,6.6798E-7
289.0,289.0,0.67105436
290.0,290.0,0.33525392
291.0,291.0,0.5225495
292.0,292.0,1.836231E-4
293.0,293.0,3.852319E-6
294.0,294.0,0.34186867
295.0,295.0,0.002385416
296.0,296.0,0.46681112
297.0,297.0,0.14970739
298.0,298.0,0.01563914
299.0,299.0,0.35880324
300.0,300.0,0.17258005
301.0,301.0,0.002112922
302.0,302.0,0.14048566
303.0,303.0,0.11846991
304.0,304.0,0.24749145
305.0,305.0,1.7233639E-7
306.0,306.0,0.4041598
307.0,307.0,0.9631999
308.0,308.0,0.3785866
309.0,309.0,5.01353E-5
310.0,310.0,6.7590145E-6
311.0,311.0,9.698606E-7
312.0,312.0,6.8389164E-7
313.0,313.0,0.20049177
314.0,314.0,0.010405771
315.0,315.0,0.8994112
316.0,316.0,0.3493826
317.0,317.0,4.1496587E-5
318.0,318.0,9.003646E-5
319.0,319.0,1.8472281E-5
320.0,320.0,0.013938756
321.0,321.0,6.5267633E-4
322.0,322.0,2.091792E-5
323.0,323.0,2.6151762E-5
324.0,324.0,4.2671262E-4
325.0,325.0,0.026391523
326.0,326.0,0.003293915
327.0,327.0,7.4895324E-6
328.0,328.0,0.0154516455
329.0,329.0,0.089892685
330.0,330.0,0.34841472
331.0,331.0,7.837021E-7
332.0,332.0,0.52538997
333.0,333.0,0.51305306
334.0,334.0,0.48736233
335.0,335.0,0.006686251
