x,y,species median
214.0,214.0,0.08688489
215.0,215.0,0.93863326
216.0,216.0,2.605526E-7
217.0,217.0,0.50022936
218.0,218.0,0.13569658
219.0,219.0,0.53667665
220.0,220.0,0.06063636
221.0,221.0,0.04233458
222.0,222.0,7.448251E-8
223.0,223.0,0.37070522
224.0,224.0,1.4022937E-6
225.0,225.0,0.0044085104
226.0,226.0,0.06223004
227.0,227.0,0.03589538
228.0,228.0,0.79666376
229.0,229.0,1.4113311E-5
230.0,230.0,0.533159
231.0,231.0,0.041273624
232.0,232.0,0.110000044
233.0,233.0,1.4971953E-5
234.0,234.0,0.17467058
235.0,235.0,0.058002207
236.0,236.0,0.49834612
237.0,237.0,0.034653742
238.0,238.0,0.24860206
239.0,239.0,0.019944025
240.0,240.0,0.36589587
241.0,241.0,2.3208704E-6
242.0,242.0,0.40743154
243.0,243.0,0.6387307
244.0,244.0,0.37807712
245.0,245.0,0.6916653
246.0,246.0,1.573213E-4
247.0,247.0,0.5174735
248.0,248.0,2.4212832E-6
249.0,249.0,0.0015673559
250.0,250.0,0.023292836
251.0,251.0,0.3424687
252.0,252.0,0.007874033
253.0,253.0,4.5993426E-4
254.0,254.0,0.6546745
255.0,255.0,1.1544462E-5
256.0,256.0,0.0132659245
257.0,257.0,0.5674815
258.0,258.0,1.938824E-7
259.0,259.0,1.6215285E-5
260.0,260.0,0.30888584
261.0,261.0,3.917182E-4
262.0,262.0,0.40188092
263.0,263.0,0.048122864
264.0,264.0,0.024035119
265.0,265.0,0.15891561
266.0,266.0,1.6595813E-4
267.0,267.0,1.8401988E-4
268.0,268.0,0.048079018
269.0,269.0,0.1316763
270.0,270.0,1.9497997E-5
271.0,271.0,0.75404537
272.0,272.0,0.57706887
273.0,273.0,2.5915451E-6
274.0,274.0,0.4671504
275.0,275.0,0.34376937
276.0,276.0,0.0038464041
277.0,277.0,0.30508476
278.0,278.0,0.23010188
279.0,279.0,0.57982725
280.0,280.0,0.004900929
281.0,281.0,0.7416192
282.0,282.0,9.671613E-4
283.0,283.0,0.5611241
284.0,284.0,0.004234132
285.0,285.0,2.9905954E-5
286.0,286.0,0.58668077
287.0,287.0,1.99845E-4
288.0,288.0,1.3901317E-5
289.0,289.0,0.8676942
290.0,290.0,1.1228136E-6
291.0,291.0,0.0010964783
292.0,292.0,0.5935378
293.0,293.0,3.298806E-5
294.0,294.0,0.047240023
295.0,295.0,4.0980012E-5
296.0,296.0,0.03176323
297.0,297.0,6.8952027E-4
298.0,298.0,3.899714E-6
299.0,299.0,0.025339501
300.0,300.0,2.0815983E-6
301.0,301.0,0.45305467
302.0,302.0,4.078934E-5
303.0,303.0,0.09931909
304.0,304.0,9.789264E-7
305.0,305.0,7.8408426E-4
306.0,306.0,0.34575534
307.0,307.0,0.109077044
308.0,308.0,0.54056954
309.0,309.0,0.2679593
310.0,310.0,0.055056285
311.0,311.0,0.00174338
312.0,312.0,2.174279E-4
313.0,313.0,0.21542203
314.0,314.0,0.57732195
315.0,315.0,0.6947691
316.0,316.0,6.5361804E-5
317.0,317.0,6.7126195E-5
318.0,318.0,1.2111839E-4
319.0,319.0,0.014531284
320.0,320.0,1.2258231E-5
321.0,321.0,0.12686637
322.0,322.0,0.0011243692
323.0,323.0,0.097052686
324.0,324.0,2.0986656E-6
325.0,325.0,1.2943535E-5
326.0,326.0,0.03096186
327.0,327.0,0.0011992917
328.0,328.0,0.025848204
329.0,329.0,0.45205206
330.0,330.0,0.067130685
331.0,331.0,0.34385723
332.0,332.0,0.016635327
333.0,333.0,4.308616E-7
334.0,334.0,1.7050028E-6
335.0,335.0,0.02172459
336.0,336.0,9.40863E-6
337.0,337.0,0.0011159583
338.0,338.0,0.91019416
339.0,339.0,0.0012893379
340.0,340.0,0.015726523
341.0,341.0,0.75409305
342.0,342.0,0.06765871
343.0,343.0,0.25070584
344.0,344.0,5.5356013E-6
345.0,345.0,0.04278979
346.0,346.0,0.7645438
347.0,347.0,0.051976502
348.0,348.0,0.0033452592
349.0,349.0,2.2923521E-5
350.0,350.0,0.38523412
351.0,351.0,0.002067202
352.0,352.0,1.3257045E-7
353.0,353.0,0.0010088132
354.0,354.0,1.4413917E-4
355.0,355.0,0.35357162
356.0,356.0,0.28884634
357.0,357.0,0.053542685
358.0,358.0,0.40770105
359.0,359.0,1.7574504E-7
360.0,360.0,1.6720416E-7
361.0,361.0,0.07450707
362.0,362.0,1.3749943E-4
363.0,363.0,0.0019245243
364.0,364.0,4.5151257E-5
365.0,365.0,0.01678827
366.0,366.0,0.5904372
367.0,367.0,5.7097955E-6
368.0,368.0,2.06902E-6
369.0,369.0,0.4147382
370.0,370.0,0.5628665
371.0,371.0,0.03856715
372.0,372.0,0.43841726
373.0,373.0,0.12509203
374.0,374.0,0.0017440048
375.0,375.0,0.10941929
376.0,376.0,1.6064466E-4
377.0,377.0,4.4129873E-4
378.0,378.0,1.3122886E-5
379.0,379.0,0.08935357
380.0,380.0,0.06184778
381.0,381.0,0.0045228577
382.0,382.0,6.179922E-5
383.0,383.0,0.49497095
384.0,384.0,0.035974767
385.0,385.0,0.52119523
386.0,386.0,0.07552318
387.0,387.0,0.5214191
388.0,388.0,0.00598919
389.0,389.0,1.8266019E-5
390.0,390.0,0.01700195
391.0,391.0,0.7093901
392.0,392.0,9.657008E-7
393.0,393.0,0.44142616
394.0,394.0,3.277781E-5
395.0,395.0,1.7860904E-5
396.0,396.0,0.015884388
397.0,397.0,0.34140527
398.0,398.0,0.46502155
399.0,399.0,0.3395612
400.0,400.0,1.2202963E-7
401.0,401.0,0.09979394
402.0,402.0,2.1938751E-5
403.0,403.0,9.052333E-5
404.0,404.0,0.06247596
405.0,405.0,0.0028434251
406.0,406.0,0.76373494
407.0,407.0,0.6121513
408.0,408.0,2.0484087E-7
409.0,409.0,3.0467618E-4
410.0,410.0,4.3502837E-4
411.0,411.0,0.15538289
412.0,412.0,0.028198862
413.0,413.0,0.0030759573
414.0,414.0,0.0013053983
415.0,415.0,5.1401486E-5
416.0,416.0,0.061044488
417.0,417.0,5.7187526E-6
418.0,418.0,1.6737938E-6
419.0,419.0,0.7749518
420.0,420.0,0.11089804
421.0,421.0,0.12780967
422.0,422.0,0.6807292
423.0,423.0,0.5091518
424.0,424.0,0.44520596
425.0,425.0,4.3972956E-5
426.0,426.0,0.09636146
427.0,427.0,2.1565349E-5
428.0,428.0,0.27044272
429.0,429.0,0.12526639
430.0,430.0,3.2686975E-4
431.0,431.0,0.0026404916
432.0,432.0,0.8197658
433.0,433.0,0.15486948
434.0,434.0,0.41827622
435.0,435.0,0.31656715
