Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.60368E-4,13.010093728,0.328627321,0.212373038,0.08,0.315789474
1.61927E-4,13.252095758,0.33122412,0.210834103,0.08,0.315789474
1.65482E-4,13.514411291,0.337104016,0.209192572,0.08,0.315789474
1.67771E-4,13.764419451,0.340863656,0.207653637,0.08,0.315789474
1.69655E-4,14.000649021,0.343941365,0.206217298,0.08,0.315789474
1.71266E-4,14.256270369,0.34656207,0.204678363,0.08,0.315789474
1.74339E-4,14.515357352,0.35153206,0.203139428,0.08,0.315789474
1.76363E-4,14.76058874,0.354784279,0.201703088,0.093333333,0.315789474
1.78278E-4,15.009067181,0.357847094,0.200266749,0.093333333,0.315789474
1.79918E-4,15.25994643,0.360458379,0.198830409,0.106666667,0.315789474
1.80983E-4,15.512826583,0.362148539,0.19739407,0.106666667,0.315789474
1.82988E-4,15.767510257,0.365317203,0.195957731,0.106666667,0.315789474
1.85258E-4,16.007547644,0.368886817,0.194623987,0.106666667,0.315789474
1.87673E-4,16.268752422,0.37266286,0.193187647,0.106666667,0.315789474
1.89524E-4,16.513869027,0.375540889,0.191853904,0.106666667,0.315789474
1.9193E-4,16.762134086,0.379262678,0.19052016,0.106666667,0.315789474
1.94872E-4,17.013760923,0.38378273,0.189186416,0.12,0.368421053
1.97505E-4,17.268808155,0.387800966,0.187852673,0.12,0.368421053
1.99369E-4,17.50694584,0.390629155,0.186621525,0.12,0.368421053
2.00441E-4,17.766878944,0.392250335,0.185287781,0.12,0.368421053
2.02534E-4,18.008737655,0.395402789,0.184056633,0.12,0.421052632
2.04136E-4,18.25265377,0.397804397,0.182825485,0.133333333,0.421052632
2.06636E-4,18.519794733,0.401532497,0.181491741,0.133333333,0.421052632
2.09535E-4,18.769605013,0.405828283,0.180260593,0.16,0.421052632
2.11413E-4,19.00095211,0.408593927,0.179132041,0.16,0.421052632
2.13502E-4,19.255657636,0.411656203,0.177900893,0.16,0.421052632
2.15551E-4,19.513199367,0.414643037,0.176669745,0.16,0.421052632
2.16748E-4,19.75123095,0.416381678,0.175541192,0.16,0.421052632
2.18889E-4,20.013141605,0.419477367,0.174310044,0.16,0.421052632
2.20476E-4,20.255236021,0.42176167,0.173181492,0.173333333,0.421052632
2.2325E-4,20.521357347,0.425733296,0.171950344,0.186666667,0.421052632
2.26221E-4,20.768719717,0.42995664,0.170821791,0.186666667,0.421052632
2.28283E-4,21.01899034,0.432868893,0.169693239,0.186666667,0.421052632
2.29824E-4,21.271076435,0.435036453,0.168564687,0.2,0.421052632
2.31055E-4,21.501538249,0.436761331,0.16753873,0.2,0.421052632
2.33574E-4,21.757194343,0.44027551,0.166410177,0.2,0.421052632
2.357E-4,22.015337329,0.443224078,0.165281625,0.2,0.421052632
2.37098E-4,22.251985327,0.445154535,0.164255668,0.2,0.421052632
2.38374E-4,22.513428016,0.446910942,0.163127116,0.2,0.421052632
2.40005E-4,22.752568339,0.449148231,0.162101159,0.2,0.421052632
2.42133E-4,23.017751447,0.452052049,0.160972607,0.2,0.473684211
2.44093E-4,23.26094888,0.454714727,0.15994665,0.2,0.473684211
2.46291E-4,23.506108192,0.4576843,0.158920694,0.2,0.473684211
2.48075E-4,23.753051659,0.460082259,0.157894737,0.2,0.473684211
2.50005E-4,24.002258424,0.462665057,0.15686878,0.2,0.473684211
2.51166E-4,24.252934884,0.46421319,0.155842823,0.213333333,0.473684211
2.52055E-4,24.504530891,0.465395147,0.154816867,0.213333333,0.473684211
2.53922E-4,24.757485541,0.467869475,0.15379091,0.213333333,0.473684211
2.55203E-4,25.012136247,0.469559712,0.152764953,0.213333333,0.473684211
2.56446E-4,25.268119722,0.471195613,0.151738997,0.213333333,0.473684211
2.58032E-4,25.525420618,0.473275302,0.15071304,0.213333333,0.473684211
2.59645E-4,25.758511803,0.475381222,0.149789679,0.213333333,0.473684211
2.62158E-4,26.019623721,0.478646976,0.148763722,0.213333333,0.473684211
2.62917E-4,26.255895291,0.479628881,0.147840361,0.213333333,0.473684211
2.64456E-4,26.519655978,0.48161476,0.146814404,0.213333333,0.526315789
2.66084E-4,26.758567728,0.483707441,0.145891043,0.213333333,0.526315789
2.68528E-4,27.025879528,0.486833544,0.144865087,0.226666667,0.526315789
2.69668E-4,27.268113708,0.488284753,0.143941726,0.226666667,0.526315789
2.70637E-4,27.511312323,0.48951442,0.143018365,0.24,0.526315789
2.71961E-4,27.755510187,0.491191853,0.142095004,0.253333333,0.526315789
2.73734E-4,28.001199908,0.493427885,0.141171643,0.253333333,0.526315789
2.76207E-4,28.27647984,0.49653054,0.140145686,0.253333333,0.526315789
2.76779E-4,28.525328681,0.49724531,0.139222325,0.253333333,0.526315789
2.78616E-4,28.775567881,0.499535472,0.138298964,0.253333333,0.526315789
2.80897E-4,29.027396507,0.502362674,0.137375603,0.253333333,0.526315789
2.81558E-4,29.252446728,0.503180197,0.136554837,0.253333333,0.526315789
2.82705E-4,29.506579803,0.504592926,0.135631476,0.253333333,0.526315789
2.83283E-4,29.761374883,0.505303968,0.134708115,0.253333333,0.526315789
2.84225E-4,30.01681795,0.506460286,0.133784754,0.266666667,0.526315789
2.85261E-4,30.273120929,0.507729088,0.132861393,0.266666667,0.526315789
2.86727E-4,30.501997466,0.50951911,0.132040628,0.266666667,0.526315789
2.8767E-4,30.760506201,0.510667201,0.131117267,0.266666667,0.526315789
2.88887E-4,31.019848795,0.512143861,0.130193906,0.266666667,0.526315789
2.89778E-4,31.251425098,0.513223231,0.12937314,0.266666667,0.526315789
2.90706E-4,31.512693415,0.514343664,0.128449779,0.266666667,0.526315789
2.92737E-4,31.775626429,0.51678818,0.127526418,0.266666667,0.526315789
2.93926E-4,32.010305496,0.51821345,0.126705653,0.266666667,0.526315789
2.94501E-4,32.275174571,0.518901254,0.125782292,0.28,0.526315789
2.95607E-4,32.511190613,0.520222044,0.124961527,0.28,0.526315789
2.96806E-4,32.777806933,0.521648797,0.124038166,0.28,0.526315789
2.98174E-4,33.016043022,0.523272418,0.1232174,0.293333333,0.526315789
2.9902E-4,33.254959324,0.524272584,0.122396635,0.293333333,0.578947368
3.00283E-4,33.524860087,0.525763265,0.121473274,0.293333333,0.578947368
3.0225E-4,33.765768301,0.528074859,0.120652508,0.293333333,0.578947368
3.03078E-4,34.007964647,0.529045025,0.119831743,0.306666667,0.578947368
3.04088E-4,34.250930177,0.530225745,0.119010978,0.306666667,0.578947368
3.04994E-4,34.525108252,0.531282176,0.118087617,0.306666667,0.578947368
3.05947E-4,34.769491713,0.532390613,0.117266851,0.306666667,0.578947368
3.06925E-4,35.014678979,0.533525171,0.116446086,0.32,0.578947368
3.07915E-4,35.260620013,0.534671422,0.115625321,0.32,0.578947368
3.09134E-4,35.507475517,0.536078415,0.114804555,0.32,0.578947368
3.10513E-4,35.755295823,0.537664764,0.11398379,0.32,0.578947368
3.11992E-4,36.004149697,0.539360668,0.113163025,0.32,0.578947368
3.13094E-4,36.25426515,0.540620027,0.112342259,0.32,0.578947368
3.15001E-4,36.505482024,0.542790985,0.111521494,0.32,0.578947368
3.16096E-4,36.758047374,0.544033359,0.110700728,0.32,0.578947368
3.16579E-4,37.011131657,0.544580198,0.109879963,0.32,0.578947368
3.17216E-4,37.264671578,0.545300319,0.109059198,0.32,0.578947368
3.18514E-4,37.518816228,0.546764085,0.108238432,0.333333333,0.578947368
3.19631E-4,37.774189471,0.54801999,0.107417667,0.333333333,0.578947368
3.21013E-4,38.0304359,0.549569294,0.106596902,0.333333333,0.578947368
3.2189E-4,38.255491815,0.550549794,0.105878732,0.333333333,0.578947368
3.22854E-4,38.513476883,0.551625045,0.105057967,0.333333333,0.578947368
3.24101E-4,38.772269827,0.553012827,0.104237201,0.346666667,0.578947368
3.25864E-4,39.032272094,0.554965571,0.103416436,0.346666667,0.578947368
3.28038E-4,39.261188544,0.557362705,0.102698266,0.346666667,0.578947368
3.29651E-4,39.524304356,0.559134018,0.101877501,0.346666667,0.578947368
3.30379E-4,39.755376616,0.559929946,0.101159331,0.346666667,0.578947368
3.31846E-4,40.020317705,0.561530958,0.100338566,0.346666667,0.578947368
3.32995E-4,40.252939004,0.56278058,0.099620396,0.346666667,0.578947368
3.34234E-4,40.519910534,0.564124817,0.098799631,0.346666667,0.578947368
3.35083E-4,40.754261094,0.565043395,0.098081461,0.346666667,0.578947368
3.36038E-4,41.022746435,0.566073609,0.097260696,0.346666667,0.578947368
3.37241E-4,41.25833979,0.567368944,0.096542526,0.346666667,0.578947368
3.38799E-4,41.528736504,0.569040874,0.095721761,0.36,0.578947368
3.39628E-4,41.766256301,0.569927574,0.095003591,0.36,0.578947368
3.41708E-4,42.004716166,0.572144382,0.094285421,0.36,0.578947368
3.43435E-4,42.278945781,0.573975737,0.093464656,0.36,0.578947368
3.4413E-4,42.519586839,0.574711143,0.092746486,0.36,0.578947368
3.44995E-4,42.760858562,0.57562427,0.092028316,0.373333333,0.578947368
3.45867E-4,43.002720133,0.576541888,0.091310147,0.386666667,0.578947368
3.4667E-4,43.279800283,0.577386646,0.090489381,0.386666667,0.578947368
3.47225E-4,43.522704599,0.577968907,0.089771212,0.386666667,0.578947368
3.48656E-4,43.766211825,0.579466666,0.089053042,0.386666667,0.578947368
3.4941E-4,44.010566191,0.580253891,0.088334872,0.386666667,0.578947368
3.50948E-4,44.255837164,0.581854637,0.087616703,0.4,0.578947368
3.522E-4,44.501981681,0.58315258,0.086898533,0.4,0.578947368
3.53873E-4,44.784550647,0.5848822,0.086077768,0.413333333,0.578947368
3.54512E-4,45.032506855,0.585540389,0.085359598,0.413333333,0.578947368
3.55749E-4,45.281091491,0.586811771,0.084641428,0.413333333,0.578947368
3.56738E-4,45.530507973,0.587826029,0.083923258,0.413333333,0.578947368
3.57441E-4,45.780477307,0.588545936,0.083205089,0.413333333,0.578947368
3.58371E-4,46.031084935,0.589494695,0.082486919,0.413333333,0.578947368
3.59308E-4,46.282141799,0.590449538,0.081768749,0.413333333,0.578947368
3.60335E-4,46.534161182,0.591493469,0.08105058,0.413333333,0.578947368
3.60755E-4,46.750504863,0.591919062,0.080435006,0.413333333,0.578947368
3.62611E-4,47.003848547,0.593796377,0.079716836,0.413333333,0.578947368
3.64213E-4,47.258282924,0.595409854,0.078998666,0.413333333,0.578947368
3.65569E-4,47.513603664,0.596770787,0.078280497,0.426666667,0.578947368
3.66711E-4,47.769893408,0.597913361,0.077562327,0.426666667,0.578947368
3.68531E-4,48.027241901,0.599727988,0.076844157,0.426666667,0.578947368
3.70458E-4,48.286174178,0.601639551,0.076125987,0.426666667,0.578947368
3.7157E-4,48.508786239,0.602738719,0.075510413,0.426666667,0.578947368
3.73078E-4,48.769317563,0.604224177,0.074792244,0.426666667,0.578947368
3.75637E-4,49.03163522,0.606732315,0.074074074,0.426666667,0.578947368
3.76642E-4,49.257338126,0.607712592,0.0734585,0.426666667,0.578947368
3.7808E-4,49.521463884,0.609111898,0.07274033,0.426666667,0.578947368
3.79157E-4,49.786571889,0.610156377,0.072022161,0.44,0.578947368
3.80161E-4,50.014560704,0.611128205,0.071406587,0.44,0.578947368
3.81369E-4,50.281169629,0.612293431,0.070688417,0.44,0.578947368
3.83484E-4,50.510672916,0.614324891,0.070072843,0.44,0.578947368
3.84739E-4,50.779530907,0.615525971,0.069354673,0.44,0.578947368
3.86349E-4,51.010890502,0.617060344,0.068739099,0.44,0.578947368
3.87343E-4,51.281734971,0.618005564,0.06802093,0.44,0.578947368
3.88919E-4,51.514721923,0.619497691,0.067405355,0.453333333,0.578947368
3.90718E-4,51.787702318,0.621195187,0.066687186,0.453333333,0.578947368
3.91858E-4,52.022585465,0.622266076,0.066071612,0.453333333,0.578947368
3.93296E-4,52.258299724,0.623613664,0.065456038,0.453333333,0.578947368
3.9491E-4,52.534317635,0.625119708,0.064737868,0.453333333,0.578947368
3.96501E-4,52.77183643,0.626598059,0.064122294,0.453333333,0.578947368
3.99665E-4,53.010731987,0.629522199,0.06350672,0.453333333,0.631578947
4.01262E-4,53.251130308,0.630989519,0.062891146,0.453333333,0.631578947
4.04078E-4,53.533078151,0.633561613,0.062172976,0.453333333,0.631578947
4.05719E-4,53.776105703,0.635052708,0.061557402,0.453333333,0.631578947
4.07708E-4,54.020542844,0.636851674,0.060941828,0.453333333,0.631578947
4.09157E-4,54.265717928,0.638156767,0.060326254,0.453333333,0.631578947
4.10687E-4,54.511627865,0.639530098,0.05971068,0.453333333,0.631578947
4.1272E-4,54.758759774,0.641345656,0.059095106,0.453333333,0.631578947
4.14446E-4,55.006773507,0.642880574,0.058479532,0.453333333,0.631578947
4.16077E-4,55.255909658,0.644324395,0.057863958,0.48,0.631578947
4.18368E-4,55.506201482,0.646343841,0.057248384,0.48,0.631578947
4.20812E-4,55.758153414,0.648484788,0.05663281,0.493333333,0.631578947
4.22099E-4,56.011145016,0.649606712,0.056017236,0.493333333,0.631578947
4.22919E-4,56.264701672,0.650320097,0.055401662,0.493333333,0.631578947
4.24156E-4,56.519010441,0.651392604,0.054786088,0.506666667,0.631578947
4.26698E-4,56.774441749,0.65358718,0.054170514,0.506666667,0.631578947
4.31085E-4,57.031778937,0.657342474,0.05355494,0.506666667,0.631578947
4.33246E-4,57.29125164,0.659177073,0.052939366,0.506666667,0.631578947
4.3476E-4,57.508381157,0.660457107,0.052426388,0.506666667,0.631578947
4.37292E-4,57.77029394,0.662586599,0.051810814,0.506666667,0.631578947
4.39499E-4,58.033425786,0.664431274,0.05119524,0.52,0.631578947
4.42879E-4,58.254089796,0.667237335,0.050682261,0.52,0.631578947
4.45044E-4,58.520452437,0.669022881,0.050066687,0.52,0.631578947
4.50688E-4,58.789518538,0.673631396,0.049451113,0.52,0.631578947
4.53234E-4,59.01548561,0.675689318,0.048938135,0.52,0.631578947
4.54979E-4,59.28818609,0.677092448,0.048322561,0.533333333,0.631578947
4.57288E-4,59.516333775,0.678939411,0.047809582,0.533333333,0.631578947
4.59482E-4,59.791573947,0.680684546,0.047194008,0.533333333,0.631578947
4.62575E-4,60.022446485,0.683128793,0.04668103,0.533333333,0.631578947
4.66052E-4,60.254772539,0.685854311,0.046168052,0.533333333,0.631578947
4.68084E-4,60.535110469,0.687436548,0.045552478,0.546666667,0.631578947
4.7124E-4,60.770332373,0.689877889,0.045039499,0.546666667,0.631578947
4.75251E-4,61.006890507,0.69295273,0.044526521,0.546666667,0.631578947
4.78104E-4,61.293038817,0.695121732,0.043910947,0.546666667,0.631578947
4.82186E-4,61.533412702,0.698198209,0.043397969,0.546666667,0.631578947
4.84961E-4,61.775207296,0.70027134,0.04288499,0.546666667,0.631578947
4.90579E-4,62.019347066,0.704426285,0.042372012,0.573333333,0.631578947
4.94577E-4,62.265361651,0.707347852,0.041859034,0.573333333,0.631578947
4.9807E-4,62.514008708,0.70987628,0.041346055,0.573333333,0.631578947
5.00305E-4,62.763844633,0.711482679,0.040833077,0.586666667,0.631578947
5.08918E-4,63.016935019,0.717590956,0.040320098,0.6,0.631578947
5.12866E-4,63.272450588,0.720347583,0.03980712,0.613333333,0.631578947
5.18595E-4,63.530803578,0.724300197,0.039294142,0.613333333,0.631578947
5.21264E-4,63.790892303,0.726122072,0.038781163,0.613333333,0.631578947
5.24998E-4,64.000423755,0.728651056,0.038370781,0.613333333,0.631578947
5.28979E-4,64.264214124,0.731321859,0.037857802,0.613333333,0.631578947
5.34245E-4,64.530243531,0.734813715,0.037344824,0.613333333,0.631578947
5.37676E-4,64.798211409,0.737064664,0.036831846,0.613333333,0.631578947
5.41105E-4,65.014063492,0.739295401,0.036421463,0.613333333,0.631578947
