Predictor variable,Categorical,Sample average
bio1,false,250.22666666666666
bio12,false,2693.5466666666666
bio16,false,1032.7333333333333
bio17,false,303.88
bio5,false,309.7866666666667
bio6,false,192.61333333333334
bio7,false,117.13333333333334
bio8,false,249.50666666666666
biome,true,1.0
