X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.522307866521856E-4,11.700031099882848,0.257756111404152
2.0,2.0,train,1.1447787764948838E-4,8.034691346612233,0.20080862403502775
3.0,3.0,train,6.679926971347875E-5,4.324524572811911,0.12260426125062329
4.0,4.0,train,2.6785254797617047E-4,28.396585723775274,0.40813223400020815
5.0,5.0,train,4.223400568144188E-4,48.11093084731229,0.5626267106310063
6.0,6.0,train,2.4276027479848194E-4,24.03933760048739,0.37832622258329807
7.0,7.0,train,2.5865637447993676E-4,26.74310316845522,0.3973781265968347
8.0,8.0,train,1.318554518670563E-4,9.492736862256999,0.22754476448926275
9.0,9.0,train,2.9421697650911107E-4,32.660978694490105,0.4379110889474024
10.0,10.0,train,0.0011808465341115722,76.80226345726942,0.9009540455390066
11.0,11.0,train,2.3310792538153377E-4,22.70004061215974,0.366464912320393
12.0,12.0,train,3.3514301833680136E-4,38.949070580818834,0.481196969822854
13.0,13.0,train,2.8603432368783E-4,31.536747710913566,0.42883268487307946
14.0,14.0,train,1.8969664358787298E-4,16.825282710113726,0.31025815532271406
15.0,15.0,train,1.7301307033141757E-4,14.40299312679884,0.2873539532258623
16.0,16.0,train,2.0273743125806494E-4,18.470952454437118,0.3276475301248801
17.0,17.0,train,1.4286811588976213E-4,10.757720745751202,0.24402328550340835
18.0,18.0,train,9.104541927269076E-4,69.74221150217785,0.8318209744155926
19.0,19.0,train,8.687718790854722E-4,68.78611562327804,0.8175190804883736
20.0,20.0,train,9.796493806642343E-4,72.13406013864191,0.8531310730134862
21.0,21.0,train,1.1407484074535835E-4,7.985740411285439,0.2001776760801366
22.0,22.0,train,3.0115360978107017E-4,34.02578633114915,0.44549397054048434
23.0,23.0,train,0.0010958919871471339,75.3610539704689,0.8830285083583869
24.0,24.0,train,3.9550235851018464E-4,45.54392619795514,0.5390281717957303
25.0,25.0,train,0.002337883047096081,89.59150356919973,0.9897217080962353
26.0,26.0,train,0.00143507040455057,82.08279216846277,0.9397924539328817
27.0,27.0,train,6.418339004731327E-5,4.144518938765218,0.11809866206900965
28.0,28.0,train,6.238139372901928E-4,59.370252454456796,0.7052025283560065
29.0,29.0,train,0.01352104958578495,100.0,0.9999999999968229
30.0,30.0,train,0.0053278858184464435,96.28042529477874,0.9999705357700959
31.0,31.0,train,0.005100532831812521,95.23346464071743,0.9999540134783561
32.0,32.0,train,5.817590590871862E-4,58.03825215815532,0.679899610140472
33.0,33.0,train,0.0028720472564168513,91.40246699492577,0.9963885578980904
34.0,34.0,train,7.523343953510645E-4,65.30853936920478,0.7707902574451074
35.0,35.0,train,0.0011014497415351425,75.57445182176585,0.8842945412474329
36.0,36.0,train,9.284191255732978E-4,70.54939487001036,0.8376340759108427
37.0,37.0,train,4.980612405618305E-4,53.81719067202054,0.6228962958065252
38.0,38.0,train,3.6820865403646363E-4,42.7279852603226,0.5137223724360277
39.0,39.0,train,9.570559050840082E-4,71.29944715837493,0.8464878105789579
40.0,40.0,train,1.3554687661641873E-4,9.868782799389981,0.23310797243199977
41.0,41.0,train,3.4882571817904475E-4,40.917178067126,0.4949119798969964
42.0,42.0,train,2.847330994619809E-4,31.2678018418166,0.42737556451502934
43.0,43.0,train,0.002218761634740286,88.90609303238766,0.9870216671535235
44.0,44.0,train,4.2970514357850207E-4,48.69126900530994,0.5688889389591023
45.0,45.0,train,7.374647314706779E-4,64.4590535124763,0.7640185447772965
46.0,46.0,train,0.010801433031035848,98.64791146305743,0.9999999993472855
47.0,47.0,train,0.0015708649092561946,83.52779577545947,0.9538496953049643
48.0,48.0,train,9.908745373937166E-4,72.27682146458224,0.8563239694576341
49.0,49.0,train,7.57846586005331E-4,65.6580568150535,0.7732508644244107
50.0,50.0,train,5.439367585813129E-4,56.373223580680104,0.6552935813725542
51.0,51.0,train,0.001993623507657197,87.4141297663418,0.9798316248054164
52.0,52.0,train,4.1609460623045004E-5,2.473091799684299,0.07824325626740047
53.0,53.0,train,6.826038532792405E-4,61.53487208661144,0.7372575559322312
54.0,54.0,train,0.0013768478225272543,81.31504090814352,0.9325220315970574
55.0,55.0,train,0.0029077521050965317,91.69325420404039,0.9966324184677634
56.0,56.0,train,4.386585114392724E-4,49.18274296293354,0.5763809920901661
57.0,57.0,train,8.924470191973004E-4,69.26862509298502,0.8257853408342585
58.0,58.0,train,3.190497493462437E-4,36.807441723126466,0.4645883340160495
59.0,59.0,train,0.0018892655048717176,86.43880276774492,0.975259160780547
60.0,60.0,train,0.001228257789212449,77.52448215083152,0.9097350055523398
61.0,61.0,train,8.609692487579982E-4,68.30519448303912,0.8147097239719248
62.0,62.0,train,8.978496334642165E-4,69.53738244538533,0.8276185841577453
63.0,63.0,train,0.0016085722102964378,84.06427002426948,0.9571343712574223
64.0,64.0,train,9.65826002307784E-4,71.53909876993305,0.8491014774144359
65.0,65.0,train,0.005142190228226404,95.74764936480034,0.9999576155919953
66.0,66.0,train,5.60217247740895E-4,57.09094101169362,0.666108904478727
67.0,67.0,train,0.004910791837758239,94.21801988992556,0.9999333221324948
68.0,68.0,train,2.9837781243285564E-4,33.51619660231434,0.4424719225572905
69.0,69.0,train,0.0010790676954366245,74.34022964258337,0.8791109407775781
70.0,70.0,train,3.407873337398105E-4,39.93171882044276,0.48689917250687353
71.0,71.0,train,3.326845187362398E-4,38.67750863600127,0.4786934850974285
72.0,72.0,train,3.269912212872293E-4,38.006094836190364,0.47284953427044973
73.0,73.0,train,4.5072534508733053E-4,49.888992024642604,0.5862727789846687
