x,y,species_4 cloglog values
213.0,213.0,7.106043E-4
214.0,214.0,0.14687094
215.0,215.0,0.94764936
216.0,216.0,1.7731994E-8
217.0,217.0,0.50022936
218.0,218.0,0.15847567
219.0,219.0,0.6332729
220.0,220.0,0.10826266
221.0,221.0,0.0795946
222.0,222.0,4.2624173E-8
223.0,223.0,0.63629824
224.0,224.0,4.7381423E-6
225.0,225.0,0.009198796
226.0,226.0,0.06567525
227.0,227.0,0.06775436
228.0,228.0,0.69117546
229.0,229.0,6.6917114E-6
230.0,230.0,0.533159
231.0,231.0,0.054559134
232.0,232.0,0.1484827
233.0,233.0,1.4971953E-5
234.0,234.0,0.17053483
235.0,235.0,0.09577423
236.0,236.0,0.60193235
237.0,237.0,0.031803396
238.0,238.0,0.25017616
239.0,239.0,0.04398584
240.0,240.0,0.36631238
241.0,241.0,2.3208704E-6
242.0,242.0,0.4853147
243.0,243.0,0.6091993
244.0,244.0,0.3983631
245.0,245.0,0.7317195
246.0,246.0,8.1672886E-5
247.0,247.0,0.69497025
248.0,248.0,2.4212832E-6
249.0,249.0,0.0020433785
250.0,250.0,0.03926067
251.0,251.0,0.29156542
252.0,252.0,0.016368756
253.0,253.0,0.0011502607
254.0,254.0,0.67130077
255.0,255.0,4.579967E-6
256.0,256.0,0.019436426
257.0,257.0,0.64718246
258.0,258.0,5.3283138E-8
259.0,259.0,1.6215285E-5
260.0,260.0,0.26455775
261.0,261.0,7.270162E-4
262.0,262.0,0.40188092
263.0,263.0,0.090800434
264.0,264.0,0.049325336
265.0,265.0,0.20715635
266.0,266.0,7.838666E-5
267.0,267.0,2.2013726E-4
268.0,268.0,0.074639685
269.0,269.0,0.1316763
270.0,270.0,9.142838E-6
271.0,271.0,0.70269084
272.0,272.0,0.64251
273.0,273.0,2.5915451E-6
274.0,274.0,0.34815332
275.0,275.0,0.34376937
276.0,276.0,0.0019565597
277.0,277.0,0.30508476
278.0,278.0,0.29357877
279.0,279.0,0.57982725
280.0,280.0,0.0059484947
281.0,281.0,0.730278
282.0,282.0,7.370025E-4
283.0,283.0,0.59580606
284.0,284.0,0.006404661
285.0,285.0,2.9905954E-5
286.0,286.0,0.58668077
287.0,287.0,1.99845E-4
288.0,288.0,1.3901317E-5
289.0,289.0,0.80510664
290.0,290.0,3.9006684E-7
291.0,291.0,0.0026081342
292.0,292.0,0.6105488
293.0,293.0,1.2317605E-4
294.0,294.0,0.04805025
295.0,295.0,2.3672337E-5
296.0,296.0,0.043907214
297.0,297.0,7.5318734E-4
298.0,298.0,1.17403415E-5
299.0,299.0,0.03215213
300.0,300.0,1.7309784E-6
301.0,301.0,0.5358588
302.0,302.0,4.078934E-5
303.0,303.0,0.10666429
304.0,304.0,1.8776136E-7
305.0,305.0,0.0015181536
306.0,306.0,0.33940288
307.0,307.0,0.109077044
308.0,308.0,0.7619741
309.0,309.0,0.29444605
310.0,310.0,0.07324636
311.0,311.0,0.0017608628
312.0,312.0,3.8840712E-4
313.0,313.0,0.31071347
314.0,314.0,0.67636704
315.0,315.0,0.79713696
316.0,316.0,2.0131137E-4
317.0,317.0,3.974502E-5
318.0,318.0,8.359969E-5
