X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,9.716288026565117E-5,8.582230726792123,0.22255236482152663
3.0,3.0,train,6.396908823950642E-5,5.4522580250942605,0.15273121811030022
4.0,4.0,train,6.156520330689619E-5,5.189338904452303,0.14743777654738432
5.0,5.0,train,3.356091335715722E-5,2.4759760603245837,0.0832796913926952
6.0,6.0,train,4.8246744450665174E-4,62.48948627053613,0.713501883725977
7.0,7.0,train,3.68109927670612E-4,51.20574376437912,0.6147006841291278
8.0,8.0,train,5.250545856380857E-4,65.56644594979798,0.7434321692422965
9.0,9.0,train,1.8889700138589698E-4,18.5513112103653,0.38701365602199556
10.0,10.0,train,2.7804316403536814E-4,33.681012512401466,0.5134332200807161
11.0,11.0,train,1.0022161394787956E-4,8.88833236679709,0.22868918202629995
12.0,12.0,train,4.0526977812132506E-4,56.015759001610476,0.6500664982138131
14.0,14.0,train,2.969889371040556E-4,37.95014300059404,0.5367403866170086
15.0,15.0,train,3.936226131449034E-4,54.550077690107614,0.6393457500464211
16.0,16.0,train,4.3051602995783296E-4,58.283102435518536,0.6722232584737089
17.0,17.0,train,2.198435699391979E-4,23.330909786391082,0.43424377051449425
18.0,18.0,train,2.7455765890532064E-4,33.02762109128385,0.5090193380325033
19.0,19.0,train,2.764601134144769E-4,33.43916574826185,0.5114334581534457
20.0,20.0,train,2.3768386768700467E-4,26.074814120719395,0.4597991976623187
22.0,22.0,train,6.072250937896781E-4,70.10561050085175,0.7926314225588649
23.0,23.0,train,6.486130224192283E-4,72.58840801783154,0.8137172037712449
24.0,24.0,train,1.3406828224355418E-4,12.143321282869145,0.29344700726217643
26.0,26.0,train,0.0012635157290614447,87.02745535661677,0.9621316176450196
27.0,27.0,train,6.619632961101467E-4,73.0606525973651,0.820050411347832
30.0,30.0,train,2.170810103467208E-4,22.736813098350286,0.4301798401260578
31.0,31.0,train,1.487228069341569E-4,13.484717408721437,0.31977076828771034
33.0,33.0,train,0.010879010731327908,100.0,0.9999999999994261
34.0,34.0,train,0.00259683891222798,96.32964113023829,0.9988032448316777
35.0,35.0,train,0.0029191536174128074,96.90938125046172,0.9994808021442139
36.0,36.0,train,5.297479033953578E-4,65.95721487265172,0.7465331169902962
37.0,37.0,train,0.0011972823022707065,85.86676864164303,0.9550423698836914
39.0,39.0,train,5.007608798420285E-4,63.85524350891841,0.7267640904363603
40.0,40.0,train,7.773701565160358E-4,78.10430952460331,0.8665576575310173
41.0,41.0,train,3.784676510745042E-4,52.47369775203791,0.6249029905067631
