X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,1.08671406395109E-4,8.656900110609087,0.2351168307645196
2.0,2.0,train,1.6408354626184455E-4,13.460774543563884,0.3328252265866365
3.0,3.0,train,6.547640941834015E-5,4.978567032930056,0.14912839807838707
4.0,4.0,train,4.6007899429371853E-4,59.986172802649726,0.6785007553365305
5.0,5.0,train,5.507263254749075E-4,66.46467580702996,0.742912002448521
6.0,6.0,train,2.2821042880056733E-4,20.61021052088943,0.43042724036245983
7.0,7.0,train,3.164119814720805E-4,37.539316601647116,0.541783329778436
8.0,8.0,train,8.032355489573954E-5,6.300362867559551,0.1797234391971413
9.0,9.0,train,3.402645737980757E-4,42.438200898904476,0.5679630937373604
10.0,10.0,train,9.121948031292339E-4,81.35135897898695,0.8945880636275179
11.0,11.0,train,2.8523551322570873E-4,31.532246839483165,0.5051586368086038
12.0,12.0,train,3.8700792660496065E-4,50.05884109222019,0.6150085789308771
13.0,13.0,train,4.087003429714679E-4,53.72715433292421,0.6350655044238589
14.0,14.0,train,2.1587416551043846E-4,18.932975003349938,0.4128306583020257
15.0,15.0,train,2.556678959827399E-4,25.4856025618873,0.4677229258488993
16.0,16.0,train,2.523027002709846E-4,24.724542469571727,0.4632866012179897
17.0,17.0,train,2.2461130698149477E-4,20.157953661375455,0.42534861176796235
18.0,18.0,train,6.741722037385983E-4,73.04913454129202,0.8103944592948787
19.0,19.0,train,6.661092065792293E-4,72.46139133017066,0.8065860402392284
20.0,20.0,train,7.159968544009388E-4,74.30235090940413,0.8289787937360904
21.0,21.0,train,7.778514313389871E-5,6.0495854393546145,0.1745716954099913
22.0,22.0,train,3.7627760622878544E-4,48.234370379477696,0.6046834608321566
23.0,23.0,train,8.931398515824668E-4,80.98418181882936,0.8895156490305252
24.0,24.0,train,4.5713519837057627E-4,59.754487774203795,0.6761579462472969
25.0,25.0,train,0.001787961189156961,92.90751688934328,0.9878437285203897
26.0,26.0,train,5.421597890338712E-4,65.71274031146108,0.7374222232782272
27.0,27.0,train,3.831318370414027E-5,2.757404010819327,0.09016990541658232
28.0,28.0,train,4.1004677940477657E-4,53.96945923887189,0.6362754100330832
29.0,29.0,train,0.009718382540670159,100.0,0.9999999999610938
30.0,30.0,train,0.002856750275588788,96.44374823601468,0.999129132612912
31.0,31.0,train,0.0027982007947863308,96.15806425689253,0.9989938375127531
32.0,32.0,train,5.687418884705187E-4,67.5014554971796,0.7540854759313509
33.0,33.0,train,0.0014430998372257644,89.52481311470814,0.9715420608769586
34.0,34.0,train,3.8911727192634437E-4,50.49978088519704,0.6170063289536274
35.0,35.0,train,5.140191938818396E-4,63.700127416814915,0.7185500612611011
36.0,36.0,train,7.812235865293748E-4,77.07842846189637,0.8543932729729322
37.0,37.0,train,4.8084766176693846E-4,62.026842791257245,0.6945547972660184
38.0,38.0,train,1.0193706451266636E-4,8.033067217920031,0.22230610615083546
39.0,39.0,train,8.885828490676949E-4,80.79503630262565,0.8882668440638862
40.0,40.0,train,2.490791675659354E-4,24.05260687180172,0.45900236139365547
41.0,41.0,train,2.654960886299099E-4,27.33142155119491,0.4804705690013714
42.0,42.0,train,3.6682453940263944E-4,46.92899895701125,0.5953581763881594
43.0,43.0,train,0.0018388203305504107,93.09143412510231,0.9892768616210913
44.0,44.0,train,1.9734973559171236E-4,16.825050709452526,0.38538087032803425
45.0,45.0,train,6.073449483324207E-4,69.89893545485722,0.7764194744798469
46.0,46.0,train,0.006701812115708028,99.02816242761057,0.9999999337386449
47.0,47.0,train,0.0012617239746837748,87.31931218907232,0.9554870132842235
48.0,48.0,train,9.614160087788175E-4,82.1702934883998,0.906638932453909
49.0,49.0,train,8.684308256699548E-4,80.11219736927184,0.8825729401400951
50.0,50.0,train,6.128063933508594E-4,70.41796339795535,0.7794109910734954
51.0,51.0,train,0.0014940802315395031,90.04012284565607,0.974904544414445
52.0,52.0,train,1.5095173845944585E-4,12.19559543124071,0.31086241565567696
53.0,53.0,train,4.6275271383399287E-4,60.37004683532376,0.6806139341296596
54.0,54.0,train,7.806325979142966E-4,77.059566530596,0.8541808757854732
55.0,55.0,train,0.0017390614372822394,92.67141904136206,0.9862854979782302
56.0,56.0,train,3.0621249306269933E-4,35.43631583683547,0.5301099925052051
57.0,57.0,train,0.0013636224453395537,88.11604650317723,0.9653792266509567
58.0,58.0,train,4.3299691259351296E-4,57.05409270404356,0.6562922639963709
59.0,59.0,train,0.001615410416516861,91.12755086338005,0.9813949619984399
60.0,60.0,train,0.0010715176940464845,84.32388982103835,0.9288411615218631
61.0,61.0,train,8.494704166294607E-4,79.74988570725633,0.8769510550792213
62.0,62.0,train,7.963279738197121E-4,77.6544529368261,0.8597179304370772
63.0,63.0,train,0.0010923800910497816,84.75727515958046,0.9324101002242414
64.0,64.0,train,8.091753165471248E-4,78.25468643035998,0.8640933981559596
65.0,65.0,train,0.0021035631109812855,94.29092645735949,0.9944186535382988
66.0,66.0,train,4.577458851621124E-4,59.80567329695828,0.6766453584365506
67.0,67.0,train,0.0024092429308346566,95.62879890690746,0.9973739331823629
68.0,68.0,train,3.5232396305114126E-4,44.79296759690792,0.5806242982594598
69.0,69.0,train,9.661882562186592E-4,82.32129248155013,0.9077313960796372
70.0,70.0,train,1.979501130226801E-4,16.886756507889142,0.38629032396817076
71.0,71.0,train,2.992367894274452E-4,33.951016233190124,0.5219554933061876
72.0,72.0,train,2.3769162769032823E-4,22.00043132305104,0.44359209443885783
73.0,73.0,train,2.819963135803314E-4,30.795031029074657,0.5011893601650306
