Predictor variable,Categorical,Sample average
bio1,false,252.6024096385542
bio12,false,2638.7831325301204
bio16,false,1023.843373493976
bio17,false,285.7710843373494
bio5,false,312.5542168674699
bio6,false,195.21686746987953
bio7,false,117.26506024096386
bio8,false,251.6024096385542
biome,true,1.0
